Admin,pairs_n,points_n,ph_variogram_mean,ph_vario_sd,log_SOC_variogram_mean,log_SOC_vario_sd
10309004,190,19,0.2077994343797558,0.007807404309514141,0.20618185180373172,0.0017676722076135688
10309005,6,3,0.19871952174682575,5.366073118471205e-4,0.2041553765561532,1.1607652344933067e-4
10309006,6,3,0.206494096312859,0.0065252319370751365,0.20588248153284586,0.0014634229107340128
10310001,28,7,0.20215360867947663,0.003518763035823997,0.2049112012671785,7.816593207831167e-4
10310002,15,5,0.20191555096099378,0.004216445259522996,0.20486082405976422,9.350276294264652e-4
10310003,6,3,0.2006467418300999,0.0022871676197408807,0.20457731015990596,5.027383361498752e-4
10310902,1,1,0.20271050455314557,NA,0.20502930606809935,NA
10311001,21,6,0.20190165085096673,0.00378167477267853,0.20485657581313904,8.38352932082351e-4
10312001,6,3,0.1998515415769543,9.88889875383528e-4,0.20440173138933157,2.1598139198170517e-4
10312003,6,3,0.20060069175591153,0.001998422479700441,0.2045668846894046,4.375157159398506e-4
10312004,6,3,0.19991602137130132,0.001617489120435243,0.20441666270737308,3.532604860074216e-4
10312005,10,4,0.19963877199223967,9.613682322029238e-4,0.20435539310887516,2.095631391635029e-4
10312007,3,2,0.2016941046973303,0.002966834731695028,0.20480817026275255,6.499707185397272e-4
10312008,3,2,0.19843846439440269,2.4604013689101523e-4,0.20409440926587022,5.31360623500312e-5
10312012,21,6,0.20084598159857306,0.002209686793364052,0.20462125807848167,4.844646389370109e-4
10312013,1,1,0.1985411511264235,NA,0.2041165437544695,NA
10312014,10,4,0.1999799240005097,0.0010104687768451484,0.20442983400034997,2.203944374393929e-4
10312015,6,3,0.19835938303991438,3.0741622607591507e-4,0.2040773962848333,6.636195927151519e-5
10312016,1,1,0.1994318328740388,NA,0.20430977247138005,NA
10312017,6,3,0.20037800634204034,0.002035116118582229,0.20451813185836593,4.466328144844506e-4
10312901,55,10,0.20224067267002477,0.003914856054158204,0.20493183873150406,8.678143356482508e-4
10314001,15,5,0.2002593881357577,0.0021767431715603116,0.204492765569386,4.7732673566099385e-4
10401001,1,1,0.19974032337368766,NA,0.20437697652130735,NA
10401002,1,1,0.1990303496688695,NA,0.20422251042139267,NA
10401003,15,5,0.19930604494881307,9.37145454934767e-4,0.2042830005713991,2.0404077730731292e-4
10401004,3,2,0.20257125623829214,0.002854352135346587,0.205000877266921,6.299266102943494e-4
10401005,3,2,0.19896683146965435,8.081902335128222e-4,0.20420909218969147,1.7539656442253524e-4
10401007,1,1,0.19924122975633826,NA,0.2042683151861837,NA
10401008,1,1,0.19901565762357207,NA,0.20421932179479627,NA
10401009,6,3,0.20759603069783422,0.007558530273639214,0.2061337300612134,0.001691672783063067
10401010,3,2,0.19879859804770844,6.779902979389584e-4,0.2041725613240248,1.4670928749560495e-4
10401012,1,1,0.20105144969187794,NA,0.20466386025624217,NA
10401013,1,1,0.20139992837331638,NA,0.20474041236420137,NA
10401014,3,2,0.1997281304071456,0.0012025090982218218,0.20437490822858206,2.626345418614427e-4
10401018,1,1,0.20011302724887786,NA,0.20445832988678517,NA
10401019,1,1,0.19933036130333548,NA,0.2042876953412871,NA
10401020,1,1,0.19828708330309353,NA,0.20406170677427332,NA
