Admin,pairs_n,points_n,ph_variogram_mean,ph_vario_sd,log_SOC_variogram_mean,log_SOC_vario_sd
10507001,1,1,0.19959876933571327,NA,0.20434612362755378,NA
10507004,6,3,0.19847463259281883,3.2696393835326027e-4,0.20410227706534553,7.06365583255489e-5
10507005,3,2,0.20459743678353748,0.0021349106629375363,0.20544880454483191,4.7504127462749587e-4
10507006,3,2,0.199492385393099,0.001131371833402677,0.2043235819607931,2.4594585404676036e-4
10507007,6,3,0.19935823708397132,0.0013524069944515077,0.2042948228626818,2.947751632591945e-4
10507008,3,2,0.1989484681304407,8.079641443393615e-4,0.20420514956883035,1.7498803201648178e-4
10507009,6,3,0.19960441870617068,0.001183962757234473,0.20434814733935666,2.579498707006805e-4
10507011,6,3,0.19967053387742556,0.0012577288426619195,0.2043626264178781,2.7426138338504266e-4
10507013,1,1,0.19862080218677233,NA,0.20413376612641387,NA
10507014,1,1,0.19843695200609518,NA,0.20409403458335576,NA
10507015,1,1,0.1981170916098213,NA,0.20402512109910628,NA
10507016,10,4,0.19922751294123867,8.461407195951522e-4,0.20426582560479292,1.8394165957744986e-4
10507017,3,2,0.199521920830889,0.0011746732295584749,0.20433001074096643,2.558999220136849e-4
10507019,1,1,0.19891728859229046,NA,0.20419798182422993,NA
10507020,1,1,0.20018056673132253,NA,0.2044730900247147,NA
10507022,10,4,0.1988002035386887,5.901124493958112e-4,0.20417287160009656,1.280814865923654e-4
10507024,1,1,0.19980970818814228,NA,0.20439210887292822,NA
10507025,3,2,0.20005836453098025,0.0015193880473944848,0.20444733410677846,3.316451674070668e-4
10507026,15,5,0.2005058250030179,0.0021211168398769095,0.2045463655175964,4.6654142764515454e-4
10507027,3,2,0.19924736962311926,0.0010611704657810287,0.2042702594537802,2.303231919941052e-4
10507902,28,7,0.2029569782659449,0.003976784473369995,0.2050899699833385,8.822097675893393e-4
10508003,1,1,0.19917476845577445,NA,0.20425387192425973,NA
10508004,21,6,0.20050651994281726,0.002077451330982461,0.20454651154766001,4.5670491162884343e-4
10508006,28,7,0.20046814703091848,0.002059620663022366,0.20453811057397914,4.5267269823874513e-4
10508007,15,5,0.2029361354249309,0.003359214235556595,0.20508352252440645,7.439295410059284e-4
10508008,1,1,0.19953187063989927,NA,0.20433155162566596,NA
10508009,3,2,0.1991433337129334,5.85472621016243e-4,0.20424723004346865,1.2699902691742725e-4
10508010,6,3,0.20051006242382372,0.001692410073485291,0.20454640451329067,3.7151727550304727e-4
10508011,1,1,0.2038413410537112,NA,0.20527972855431692,NA
10508012,6,3,0.20106017593080278,0.0015437510755003485,0.20466677599349223,3.387738605296547e-4
10508013,10,4,0.20054179221241905,0.0015451033528017042,0.20455324990056106,3.3891685387951617e-4
10508014,6,3,0.20249547766532208,0.0033457296055938376,0.20498564063972322,7.407364788448774e-4
10508015,3,2,0.19977753449818877,0.0015109265528656444,0.20438612377300003,3.290895228959407e-4
10508016,6,3,0.19932226997309152,0.0010502795424210667,0.20428660208829624,2.286436859012843e-4
10508017,6,3,0.1994256770059173,0.0013105504693166359,0.20430937006230013,2.860579910980635e-4
10508905,78,12,0.20314840704173917,0.003996434620773135,0.20513228978228748,8.886503876801282e-4
10508906,276,23,0.21186334807749843,0.01094402645123744,0.20711366007208165,0.0025033512380509084
